#Dirchilet BC  (from water_gas_MULTI_PHASE_FLOW_BC_ST.asc.bc file) 
#Total BC nodes  75
#Node index, name, x, y, z,   value: 
1258  PRESSURE2 4.500000000000e+01 2.100000000000e+01 0.000000000000e+00 9.800000000000e+04
1259  PRESSURE2 4.500000000000e+01 2.175000000000e+01 0.000000000000e+00 9.800000000000e+04
1260  PRESSURE2 4.500000000000e+01 2.250000000000e+01 0.000000000000e+00 9.800000000000e+04
1261  PRESSURE2 4.500000000000e+01 2.325000000000e+01 0.000000000000e+00 9.800000000000e+04
1262  PRESSURE2 4.500000000000e+01 2.400000000000e+01 0.000000000000e+00 9.800000000000e+04
1263  PRESSURE2 4.500000000000e+01 2.475000000000e+01 0.000000000000e+00 9.800000000000e+04
1264  PRESSURE2 4.500000000000e+01 2.550000000000e+01 0.000000000000e+00 9.800000000000e+04
1265  PRESSURE2 4.500000000000e+01 2.625000000000e+01 0.000000000000e+00 9.800000000000e+04
1266  PRESSURE2 4.500000000000e+01 2.700000000000e+01 0.000000000000e+00 9.800000000000e+04
1267  PRESSURE2 4.500000000000e+01 2.775000000000e+01 0.000000000000e+00 9.800000000000e+04
1268  PRESSURE2 4.500000000000e+01 2.850000000000e+01 0.000000000000e+00 9.800000000000e+04
1269  PRESSURE2 4.500000000000e+01 2.925000000000e+01 0.000000000000e+00 9.800000000000e+04
1270  PRESSURE2 4.500000000000e+01 3.000000000000e+01 0.000000000000e+00 9.800000000000e+04
#STOP
